names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
CHSY3,0.84964764,4.442645,0.3955210274353973,0.7923474465951031,0.01099163679808841,High_CNV,High_CNV_vs_Low_CNV,False
ORC5,0.8495019,0.4522529,0.39560207218222687,0.7923474465951031,0.03632019115890084,High_CNV,High_CNV_vs_Low_CNV,False
CFAP58,0.84947,3.1874356,0.3956198020580254,0.7923474465951031,0.012186379928315413,High_CNV,High_CNV_vs_Low_CNV,False
LYPD6B,0.84941536,3.8777509,0.39565019724776906,0.7923474465951031,0.011230585424133811,High_CNV,High_CNV_vs_Low_CNV,False
FAM162B,0.84941536,3.398115,0.39565019724776906,0.7923474465951031,0.012186379928315413,High_CNV,High_CNV_vs_Low_CNV,False
MNX1,0.8493972,3.827998,0.39566032929120865,0.7923474465951031,0.011230585424133811,High_CNV,High_CNV_vs_Low_CNV,False
ZNF385C,0.849338,3.9026794,0.395693259515013,0.7923474465951031,0.011469534050179211,High_CNV,High_CNV_vs_Low_CNV,False
POGK,0.84882796,0.20223475,0.3959770346367729,0.7927482805749391,0.11804062126642771,High_CNV,High_CNV_vs_Low_CNV,False
CDKN2B-AS1,0.8486458,2.887928,0.39607841267463106,0.7928143026051253,0.012903225806451613,High_CNV,High_CNV_vs_Low_CNV,False
LATS1,0.8486185,0.23350629,0.39609362073206233,0.7928143026051253,0.06260454002389486,High_CNV,High_CNV_vs_Low_CNV,False
PAMR1,0.8483589,2.0367198,0.3962381148642271,0.7930198235964613,0.015531660692951015,High_CNV,High_CNV_vs_Low_CNV,False
ATAD1,0.84819955,0.2777046,0.39632685510020405,0.793027669151548,0.1056152927120669,High_CNV,High_CNV_vs_Low_CNV,False
ANKRD17,0.8481722,0.20459272,0.39634206891672796,0.793027669151548,0.13715651135005974,High_CNV,High_CNV_vs_Low_CNV,False
EOMES,0.8480766,1.2324224,0.3963953200510296,0.793027669151548,0.02078853046594982,High_CNV,High_CNV_vs_Low_CNV,False
HORMAD1,0.84804016,2.3119328,0.3964156073334604,0.793027669151548,0.013620071684587814,High_CNV,High_CNV_vs_Low_CNV,False
CEP152,0.8479764,0.48785552,0.39645111158585955,0.793027669151548,0.031541218637992835,High_CNV,High_CNV_vs_Low_CNV,False
ADAT2,0.8476258,0.39510688,0.3966464192826531,0.7933169674946473,0.02843488649940263,High_CNV,High_CNV_vs_Low_CNV,False
MTCH1,0.84756655,0.13609052,0.3966793990377928,0.7933169674946473,0.4152927120669056,High_CNV,High_CNV_vs_Low_CNV,False
FZD7,0.84714764,1.4725655,0.3969128415197618,0.7937001306856056,0.01816009557945042,High_CNV,High_CNV_vs_Low_CNV,False
GPRC5B,0.8467059,1.8317589,0.3971590608354931,0.7939667265210898,0.013859020310633213,High_CNV,High_CNV_vs_Low_CNV,False
TMEM254-AS1,0.8467014,1.8545624,0.3971615996586306,0.7939667265210898,0.015053763440860216,High_CNV,High_CNV_vs_Low_CNV,False
LRRC36,0.84668314,1.6669511,0.3971717550490682,0.7939667265210898,0.015531660692951015,High_CNV,High_CNV_vs_Low_CNV,False
ACTR5,0.84658295,0.42777765,0.39722761249603467,0.7939946955087792,0.031780167264038234,High_CNV,High_CNV_vs_Low_CNV,False
RNGTT,0.8461868,0.2739494,0.39744854971935384,0.794352591993629,0.06188769414575866,High_CNV,High_CNV_vs_Low_CNV,False
BCKDHB,0.84547186,0.4464009,0.3978474399806884,0.7949822673304979,0.044922341696535244,High_CNV,High_CNV_vs_Low_CNV,False
FOXN3-AS1,0.845358,1.4487329,0.39791097980009915,0.7950254669099115,0.01816009557945042,High_CNV,High_CNV_vs_Low_CNV,False
PTCH2,0.8446385,1.2434429,0.39831269290223204,0.7956071218409713,0.02007168458781362,High_CNV,High_CNV_vs_Low_CNV,False
LINC00869,0.8446112,0.101764984,0.39832795264329146,0.7956071218409713,0.09510155316606929,High_CNV,High_CNV_vs_Low_CNV,False
UMPS,0.8436686,0.305208,0.3988546293350086,0.7964074589743566,0.07956989247311828,High_CNV,High_CNV_vs_Low_CNV,False
TMPRSS6,0.843113,0.85991275,0.39916523407915483,0.7969437482167776,0.015053763440860216,High_CNV,High_CNV_vs_Low_CNV,False
TMIGD3,0.8419063,0.69137895,0.39984040961764944,0.797955736967139,0.03345280764635603,High_CNV,High_CNV_vs_Low_CNV,False
SETD6,0.84086806,0.87742364,0.400421864629265,0.7988639451603209,0.03034647550776583,High_CNV,High_CNV_vs_Low_CNV,False
NDUFAF4,0.84003013,0.2779484,0.40089147933048064,0.7997167250975665,0.12664277180406214,High_CNV,High_CNV_vs_Low_CNV,False
DOCK5,0.8397888,0.17446554,0.4010268101251523,0.7999025509069745,0.08148148148148149,High_CNV,High_CNV_vs_Low_CNV,False
ZFAND3,0.839593,0.17650649,0.40113662696405283,0.8000374519269388,0.1949820788530466,High_CNV,High_CNV_vs_Low_CNV,False
CTH,0.83897823,0.77450943,0.40148151808118093,0.8004727702280905,0.02317801672640382,High_CNV,High_CNV_vs_Low_CNV,False
SAP30BP,0.8385183,0.163436,0.4017396640878309,0.8004927184094803,0.23082437275985662,High_CNV,High_CNV_vs_Low_CNV,False
CDK7,0.8385092,0.191786,0.4017447768954091,0.8004927184094803,0.06212664277180406,High_CNV,High_CNV_vs_Low_CNV,False
CCNT2,0.83800375,0.23479384,0.4020285989301182,0.8009740916808166,0.07598566308243727,High_CNV,High_CNV_vs_Low_CNV,False
TBC1D23,0.8376941,0.17562252,0.40220253128605066,0.801236450193272,0.07980884109916368,High_CNV,High_CNV_vs_Low_CNV,False
TARBP2,0.8375211,0.39517945,0.4022997484328714,0.8013382260092523,0.07120669056152927,High_CNV,High_CNV_vs_Low_CNV,False
GNG7,0.83745277,0.33682996,0.4023381275011917,0.8013382260092523,0.044683393070489845,High_CNV,High_CNV_vs_Low_CNV,False
PALB2,0.83687896,0.6325679,0.40266059834656276,0.8017279000149672,0.021027479091995222,High_CNV,High_CNV_vs_Low_CNV,False
BFAR,0.83668315,0.1361497,0.40277068336931754,0.8017787351841195,0.23679808841099165,High_CNV,High_CNV_vs_Low_CNV,False
SPOP,0.8355584,0.10452254,0.4034033815541177,0.8028696748004872,0.20454002389486262,High_CNV,High_CNV_vs_Low_CNV,False
PCAT19,0.8351349,0.6308869,0.40364175812325054,0.803241843628092,0.03082437275985663,High_CNV,High_CNV_vs_Low_CNV,False
TAF9B,0.8350757,0.59947085,0.40367508629682813,0.803241843628092,0.03249701314217443,High_CNV,High_CNV_vs_Low_CNV,False
SHPRH,0.8346294,0.10648419,0.40392638247521884,0.8036575580825142,0.08004778972520908,High_CNV,High_CNV_vs_Low_CNV,False
ZBTB46,0.8344564,0.5970669,0.4040238490393462,0.8037671558828492,0.02198327359617682,High_CNV,High_CNV_vs_Low_CNV,False
AHSA1,0.8342287,0.20352186,0.4041521159618604,0.8039379986591862,0.24492234169653523,High_CNV,High_CNV_vs_Low_CNV,False
HEATR1,0.8339099,0.31350195,0.4043317305872032,0.8042109355622766,0.044444444444444446,High_CNV,High_CNV_vs_Low_CNV,False
IGHMBP2,0.83345455,0.5511553,0.4045884057412843,0.8046370716111008,0.03106332138590203,High_CNV,High_CNV_vs_Low_CNV,False
