names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
ZBTB17,-1.4918301,-0.3761831,0.1357437017466984,0.3901505898409455,0.043229166666666666,Cancer,Cancer_vs_Normal,False
PREP,-1.4921087,-0.13538201,0.1356706539537724,0.39008398305538106,0.0703125,Cancer,Cancer_vs_Normal,False
TIMM21,-1.4921644,-0.24459034,0.1356560480389987,0.39008398305538106,0.057291666666666664,Cancer,Cancer_vs_Normal,False
ZNF717,-1.4923106,-1.0186578,0.13561771329081387,0.39005003526846904,0.018229166666666668,Cancer,Cancer_vs_Normal,False
SPRY2,-1.4923246,-0.95143723,0.13561406279883023,0.39005003526846904,0.032552083333333336,Cancer,Cancer_vs_Normal,False
PMEPA1,-1.4925963,0.032369964,0.13554289337351721,0.3899531208781484,0.07552083333333333,Cancer,Cancer_vs_Normal,False
IKZF2,-1.492666,-0.6255301,0.1355246494506891,0.3899531208781484,0.021614583333333333,Cancer,Cancer_vs_Normal,False
CCDC51,-1.4927983,-0.74586076,0.1354899912230012,0.38991922360306797,0.03177083333333333,Cancer,Cancer_vs_Normal,False
RBM43,-1.4933347,-0.4481619,0.1353496042865521,0.38957432771201406,0.04921875,Cancer,Cancer_vs_Normal,False
PER3,-1.4934392,-0.46772864,0.13532226926454582,0.38955477179752757,0.06380208333333333,Cancer,Cancer_vs_Normal,False
ZSCAN29,-1.4936342,-0.68813217,0.13527125530151918,0.3894670345822546,0.025260416666666667,Cancer,Cancer_vs_Normal,False
CYGB,-1.4953129,-1.3940561,0.13483278494250653,0.3883225157835438,0.014322916666666666,Cancer,Cancer_vs_Normal,False
SLC25A14,-1.4955637,-0.8141722,0.13476738170251404,0.3881931035826517,0.023697916666666666,Cancer,Cancer_vs_Normal,False
PGM2,-1.4959817,-0.14101091,0.13465843079839454,0.3879381953655708,0.09375,Cancer,Cancer_vs_Normal,False
UBE3B,-1.4961698,-0.27881467,0.1346094251103873,0.38785593242456623,0.06979166666666667,Cancer,Cancer_vs_Normal,False
